Row,Identifier 1,Comment,Amount,corrected,d 15N/14N,d 13C/12C,Amt% N,Amt% C,,C/N (mol)
46,DW_K_1,,5.411,,1.733,-26.218,0.34,4.55,,15.57
47,DW_K_2,,5.322,,1.813,-26.267,0.30,3.91,,15.20
48,DW_K_3,,6.212,,1.216,-25.905,0.39,4.91,,14.66
49,DW_K_4,,5.259,,-0.321,-27.070,0.65,15.22,,27.35
50,DW_K_5,,6.262,,3.051,-25.673,0.23,2.86,,14.25
51,DW_K_6,,5.313,,2.138,-25.935,0.38,4.50,,13.92
52,DW_K_7,,5.236,,0.968,-26.747,0.47,7.66,,18.89
53,DW_K_8,,5.867,,1.242,-26.625,0.39,5.43,,16.43
55,DW_W_1,,5.325,,2.919,-26.374,0.22,3.26,,16.98
56,DW_W_2,,5.884,,2.393,-26.103,0.27,3.32,,14.28
57,DW_W_3,,6.099,,3.651,-25.997,0.23,2.75,,13.95
58,DW_W_4,,6.358,,3.441,-26.356,0.24,3.49,,16.84
59,DW_W_5,,5.200,,1.967,-26.825,0.38,5.71,,17.38
60,DW_W_6,,6.315,,1.216,-25.767,0.43,5.59,,15.27
61,DW_W_7,some CaCO3 present,5.552,,4.266,-15.876,0.31,6.69,,24.80
62,DW_W_8,some CaCO3 present,5.514,,3.545,-23.979,0.39,5.35,,15.84
