Sample.code,Site,Location,Replicate,Total.EcM.col,Eman.H.col,Rhizomorphs.col,Sclerotia.col,Cystidia.col,Mat.col,soil.N in %,soil.NH4,soil.d15N(unitless),root.biomass,root.diameter(mm),DBH(kg Carbon),pH,Soil Carbon(%)
K1,K,Klausenleopoldsdorf,1,0.59,0.36,0.05,0,0.06,0.02,0.34,,1.733,,0.27,38960.47,3.802,4.55
K2,K,Klausenleopoldsdorf,2,0.75,0.68,0,0,0.06,0,0.3,,1.813,,0.33,38960.47,3.841,3.91
K3,K,Klausenleopoldsdorf,3,0.35,0.19,0.01,0,0,0.01,0.39,,1.216,,0.2422222,34282.61,3.878,4.91
K4,K,Klausenleopoldsdorf,4,0.69,0.18,0.07,0,0,0,0.65,,-0.321,,0.29,34282.61,4.263,15.22
K5,K,Klausenleopoldsdorf,5,0.82,0.6,0,0,0,0,0.23,,3.051,,0.3444444,36898.2,3.735,2.86
K6,K,Klausenleopoldsdorf,6,0.6666666667,0.03333333333,0,0.01666666667,0.01666666667,0,0.38,,2.138,,0.265,36898.2,3.88,4.5
K7,K,Klausenleopoldsdorf,7,0.7,0.38,0.04,0,0,0,0.47,,0.968,,0.2711111,30342.64,3.904,7.66
K8,K,Klausenleopoldsdorf,8,0.67,0.58,0.01,0,0.05,0,0.39,,1.242,,0.3555556,30342.64,4.084,5.43
W1,W,Wiener Huette,1,0.73,0.63,0.1,0,0.05,0.01,0.22,,2.919,,0.1988889,84752.97,5.537,3.26
W2,W,Wiener Huette,2,0.75,0.66,0.04,0,0.04,0,0.27,,2.393,,0.29,84752.97,6.051,3.32
W3,W,Wiener Huette,3,0.47,0.42,0,0,0,0,0.23,,3.651,,0.2811111,61926.65,5.931,2.75
W4,W,Wiener Huette,4,0.42,0.39,0,0,0,0,0.24,,3.441,,0.2422222,61926.65,6.03,3.49
W5,W,Wiener Huette,5,0.61,0.58,0.05,0,0,0,0.38,,1.967,,0.3055556,12352.37,5.765,5.71
W6,W,Wiener Huette,6,0.49,0.37,0.03,0,0.01,0.01,0.43,,1.216,,0.3844444,12352.37,6.628,5.59
W7,W,Wiener Huette,7,0.47,0.36,0,0.03,0.01,0,0.31,,4.266,,0.3744444,59506.87,6.581,6.69
W8,W,Wiener Huette,8,0.73,0.73,0.04,0,0,0,0.39,,3.545,,0.3522222,59506.87,6.762,5.35
