Row,Identifier 1,Identifier 2,Comment,Amount,corrected,d 15N/14N,AT% 15N/14N,d 13C/12C,AT% 13C/12C,Amt% N,Amt% C,EH,RM,Sclerotia,Cystidia,Matts,Colour,Notes
,,,,,,,,,,,,,,,,,,
6,K7_1,leaves,dil 96,1.02,,-2.598,0.365523,-33.134,1.069416,2.84,48.59,,,,,,,
7,K5_1,leaves,dil 96,0.933,,-4.515,0.364823,-33.286,1.06925,3.34,50.45,,,,,,,
8,K5_2,leaves,dil 96,1.007,,-4.152,0.364956,-33.924,1.068551,2.58,51.67,,,,,,,
9,W4_2,leaves,dil 96,0.952,,-2.26,0.365647,-33.997,1.068471,2.3,49.93,,,,,,,
10,W1,leaves,dil 96,0.934,,-2.32,0.365625,-33.323,1.069208,2.65,49.25,,,,,,,
11,W3,leaves,dil 96,0.971,,-3.525,0.365185,-34.112,1.068345,2.58,51.57,,,,,,,
,,,,,,,,,,,,,,,,,,
14,Control,Mykorrhiza,dil 80,0.935,,2263.726,1.186224,-28.02,1.075011,1.59,38.36,,,,,,,
15,C9- K5_1,Mykorrhiza,dil 80,0.108,,859.993,0.679494,-26.97,1.07616,3.91,49.41,0,0,0,0,0,yellow,ginger-root
16,D8- W1,Mykorrhiza,dil 80,0.905,,5832.057,2.451365,-27.121,1.075995,1.3,31.45,1,0,0,0,0,black,much dirt on it
17,B4- K5_2,Mykorrhiza,dil 80,0.105,,2845.99,1.394899,-28.053,1.074975,3.06,50.48,1,0,0,0,0,black,
18,A1- K7_1,Mykorrhiza,dil 80,0.91,,5605.183,2.371893,-34.177,1.068274,1.77,46.59,0,0,0,0,0,yellow,
20,A2-W4_2,Mykorrhiza,dil 80,0.779,,4992.971,2.156792,-26.823,1.076321,4.02,38.94,1,1,0,0,0,white,
21,A3- W4_2,Mykorrhiza,dil 80,0.93,,2041.321,1.106283,-26.664,1.076495,2.1,38.74,1,0,0,0,0,tan,
22,A4-W4_2,Mykorrhiza,dil 80,0.987,,8151.588,3.256518,-26.384,1.076801,2.11,45.72,0,0,0,0,0,yellow,
24,A5-W3,Mykorrhiza,dil 80,0.258,,2368.46,1.223824,-28.056,1.074972,2.5,41.52,1,0,0,0,0,black,
