,,,,,,,,,Sample.code,Site,Location,Replicate,Total.EcM.col,Eman.H.col,Rhizomorphs.col,Sclerotia.col,Cystidia.col,Mat.col
,,,,,,,,,K1,K,Klausenleopoldsdorf,1,0.59,0.36,0.05,0,0.06,0.02
,,,,,,,,,K2,K,Klausenleopoldsdorf,2,0.75,0.68,0,0,0.06,0
,,,,,,,,,K3,K,Klausenleopoldsdorf,3,0.35,0.19,0.01,0,0,0.01
,,,,,,,,,K4,K,Klausenleopoldsdorf,4,0.69,0.18,0.07,0,0,0
,,,,,,,,,K5,K,Klausenleopoldsdorf,5,0.82,0.6,0,0,0,0
,,,,,,,,,K6,K,Klausenleopoldsdorf,6,0.6666666667,0.03333333333,0,0.01666666667,0.01666666667,0
,,,,,,,,,K7,K,Klausenleopoldsdorf,7,0.7,0.38,0.04,0,0,0
,,,,,,,,,K8,K,Klausenleopoldsdorf,8,0.67,0.58,0.01,0,0.05,0
,,,,,,,,,W1,W,Wiener Huette,1,0.73,0.63,0.1,0,0.05,0.01
,,,,,,,,,W2,W,Wiener Huette,2,0.75,0.66,0.04,0,0.04,0
,,,,,,,,,W3,W,Wiener Huette,3,0.47,0.42,0,0,0,0
,,,,,,,,,W4,W,Wiener Huette,4,0.42,0.39,0,0,0,0
,,,,,,,,,W5,W,Wiener Huette,5,0.61,0.58,0.05,0,0,0
,,,,,,,,,W6,W,Wiener Huette,6,0.49,0.37,0.03,0,0.01,0.01
,,,,,,,,,W7,W,Wiener Huette,7,0.47,0.36,0,0.03,0.01,0
,,,,,,,,,W8,W,Wiener Huette,8,0.73,0.73,0.04,0,0,0
