Sample,Diameter
K-01,0.31
K-01,0.3
K-01,0.32
K-01,0.29
K-01,0.27
K-01,0.17
K-01,0.22
K-01,0.29
K-01,0.26
K-02,0.39
K-02,0.23
K-02,0.32
K-02,0.45
K-02,0.45
K-02,0.29
K-02,0.39
K-02,0.21
K-02,0.24
K-03,0.3
K-03,0.29
K-03,0.31
K-03,0.2
K-03,0.15
K-03,0.16
K-03,0.19
K-03,0.29
K-03,0.29
K-04,0.25
K-04,0.26
K-04,0.31
K-04,0.32
K-04,0.36
K-04,0.22
K-04,0.37
K-04,0.21
K-04,0.31
K-05,0.36
K-05,0.27
K-05,0.35
K-05,0.41
K-05,0.34
K-05,0.28
K-05,0.59
K-05,0.24
K-05,0.26
K-06,0.22
K-06,0.26
K-06,0.33
K-06,0.28
K-06,0.24
K-06,0.26
K-07,0.18
K-07,0.27
K-07,0.14
K-07,0.3
K-07,0.27
K-07,0.31
K-07,0.3
K-07,0.29
K-07,0.38
K-08,0.4
K-08,0.24
K-08,0.33
K-08,0.28
K-08,0.41
K-08,0.3
K-08,0.43
K-08,0.44
K-08,0.37
W-01,0.25
W-01,0.18
W-01,0.23
W-01,0.24
W-01,0.2
W-01,0.26
W-01,0.12
W-01,0.2
W-01,0.11
W-02,0.39
W-02,0.25
W-02,0.28
W-02,0.34
W-02,0.29
W-02,0.19
W-02,0.38
W-02,0.19
W-02,0.3
W-03,0.26
W-03,0.27
W-03,0.28
W-03,0.28
W-03,0.22
W-03,0.32
W-03,0.35
W-03,0.36
W-03,0.19
W-04,0.26
W-04,0.21
W-04,0.4
W-04,0.23
W-04,0.22
W-04,0.22
W-04,0.19
W-04,0.24
W-04,0.21
W-05,0.4
W-05,0.26
W-05,0.28
W-05,0.33
W-05,0.43
W-05,0.32
W-05,0.22
W-05,0.29
W-05,0.22
W-06,0.38
W-06,0.52
W-06,0.54
W-06,0.29
W-06,0.44
W-06,0.36
W-06,0.33
W-06,0.33
W-06,0.27
W-07,0.31
W-07,0.4
W-07,0.66
W-07,0.25
W-07,0.27
W-07,0.41
W-07,0.31
W-07,0.4
W-07,0.36
W-08,0.34
W-08,0.48
W-08,0.22
W-08,0.43
W-08,0.62
W-08,0.28
W-08,0.46
W-08,0.11
W-08,0.23
